uid,aqi,time,lat,lon,station_location,state,country
2607,42,2025-09-29T22:00:00+09:00,3.177084,113.041091,Bintulu,Sarawak,Malaysia
9496,7,2025-09-29T22:00:00+09:00,2.926645,103.419198,Rompin,Pahang,Malaysia
2597,29,2025-09-29T22:00:00+09:00,4.200344,100.663358,Seri Manjung,Perak,Malaysia
9488,45,2025-09-29T22:00:00+09:00,5.401688,100.58968,Kulim Hi-Tech,Kedah,Malaysia
2609,39,2025-09-29T22:00:00+09:00,2.014498,112.92736,Kapit,Sarawak,Malaysia
2606,78,2025-09-29T22:00:00+09:00,4.249786,117.935864,Tawau,Sabah,Malaysia
9494,45,2025-09-29T22:00:00+09:00,2.037882,103.312063,Kluang,Johor,Malaysia
2589,10,2025-09-29T22:00:00+09:00,2.441383,101.866858,Port Dickson,Negeri Sembilan,Malaysia
2612,27,2025-09-29T22:00:00+09:00,4.424679,114.012426,Miri,Sarawak,Malaysia
2627,26,2025-09-29T22:00:00+09:00,5.298107,115.232106,Labuan,Wilayah Persekutuan,Malaysia
2578,33,2025-09-29T22:00:00+09:00,1.494625,103.735975,Larkin Lama,Johor,Malaysia
2596,58,2025-09-29T22:00:00+09:00,4.553336,101.080236,Ipoh,Perak,Malaysia
2581,16,2025-09-29T22:00:00+09:00,6.137244,100.346815,Alor Setar,Kedah,Malaysia
2586,13,2025-09-29T22:00:00+09:00,2.190936,102.257058,Bandaraya Melaka,Melaka,Malaysia
2595,62,2025-09-29T22:00:00+09:00,4.89885,100.679106,Taiping,Perak,Malaysia
2598,34,2025-09-29T22:00:00+09:00,3.687758,101.524494,Tanjung Malim,Perak,Malaysia
9498,10,2025-09-29T22:00:00+09:00,5.748449,102.515632,Besut,Terengganu,Malaysia
9490,40,2025-09-29T22:00:00+09:00,5.337598,100.214721,Balik Pulau,Pulau Pinang,Malaysia
2583,26,2025-09-29T22:00:00+09:00,6.331539,99.85846,Langkawi,Kedah,Malaysia
2616,94,2025-09-29T22:00:00+09:00,1.219656,111.464792,Sri Aman,Sarawak,Malaysia
2590,52,2025-09-29T22:00:00+09:00,2.723381,101.968497,Seremban,Negeri Sembilan,Malaysia
10484,33,2025-09-29T22:00:00+09:00,2.294794,102.571595,Tangkak,Johor,Malaysia
2626,79,2025-09-29T22:00:00+09:00,3.106236,101.717917,Kuala Lumpur,Wilayah Persekutuan,Malaysia
2610,71,2025-09-29T22:00:00+09:00,1.562229,110.388958,Kuching,Sarawak,Malaysia
2620,82,2025-09-29T22:00:00+09:00,3.133169,101.608011,Petaling Jaya,Selangor,Malaysia
2625,67,2025-09-29T22:00:00+09:00,3.212439,101.682228,Kuala Lumpur,Wilayah Persekutuan,Malaysia
2593,15,2025-09-29T22:00:00+09:00,3.94836,102.366632,Jerantut,Pahang,Malaysia
2594,52,2025-09-29T22:00:00+09:00,4.629444,101.11665,Ipoh,Perak,Malaysia
2600,19,2025-09-29T22:00:00+09:00,5.329358,100.443475,Perai,Pulau Pinang,Malaysia
9500,52,2025-09-29T22:00:00+09:00,3.537059,113.295168,Samalaju,Sarawak,Malaysia
2613,117,2025-09-29T22:00:00+09:00,1.454853,110.491505,Samarahan,Sarawak,Malaysia
2580,39,2025-09-29T22:00:00+09:00,1.470122,103.893456,Pasir Gudang,Johor,Malaysia
2588,43,2025-09-29T22:00:00+09:00,2.821692,101.811486,Nilai,Negeri Sembilan,Malaysia
2617,51,2025-09-29T22:00:00+09:00,2.816689,101.623158,Banting,Selangor,Malaysia
2582,53,2025-09-29T22:00:00+09:00,5.629631,100.467771,Sg. Petani,Kedah,Malaysia
2608,52,2025-09-29T22:00:00+09:00,4.494791,114.043416,Miri,Sarawak,Malaysia
2614,36,2025-09-29T22:00:00+09:00,2.132809,111.52287,Sarikei,Sarawak,Malaysia
2592,57,2025-09-29T22:00:00+09:00,3.819217,103.29655,Kuantan,Pahang,Malaysia
9491,26,2025-09-29T22:00:00+09:00,2.370925,102.224592,Alor Gajah,Melaka,Malaysia
2618,24,2025-09-29T22:00:00+09:00,3.321308,101.256242,Kuala Selangor,Selangor,Malaysia
2624,37,2025-09-29T22:00:00+09:00,4.598064,103.434819,Paka,Terengganu,Malaysia
2585,33,2025-09-29T22:00:00+09:00,5.811172,102.1345,Tanah Merah,Kelantan,Malaysia
2599,11,2025-09-29T22:00:00+09:00,6.429922,100.211069,Kangar,Perlis,Malaysia
2605,44,2025-09-29T22:00:00+09:00,5.864467,118.091089,Sandakan,Sabah,Malaysia
9492,51,2025-09-29T22:00:00+09:00,2.493914,102.862694,Segamat,Johor,Malaysia
2619,29,2025-09-29T22:00:00+09:00,3.014889,101.413111,Pelabuhan Kelang,Selangor,Malaysia
2601,44,2025-09-29T22:00:00+09:00,5.39817,100.403947,Perai,Pulau Pinang,Malaysia
9499,16,2025-09-29T22:00:00+09:00,5.538225,115.850556,Kimanis,Sabah,Malaysia
2604,58,2025-09-29T22:00:00+09:00,5.89372,116.04327,Kota Kinabalu,Sabah,Malaysia
9501,38,2025-09-29T22:00:00+09:00,2.883238,112.019742,Mukah,Sarawak,Malaysia
2577,29,2025-09-29T22:00:00+09:00,1.564056,104.225306,Kota Tinggi,Johor,Malaysia
2587,12,2025-09-29T22:00:00+09:00,2.258519,102.172683,Bukit Rambai,Melaka,Malaysia
9497,19,2025-09-29T22:00:00+09:00,3.471603,102.376406,Temerloh,Pahang,Malaysia
9495,38,2025-09-29T22:00:00+09:00,1.389489,104.149586,Pengerang,Johor,Malaysia
2623,39,2025-09-29T22:00:00+09:00,5.308094,103.120392,Kuala Terengganu,Terengganu,Malaysia
2611,22,2025-09-29T22:00:00+09:00,4.758891,115.013667,Limbang,Sarawak,Malaysia
2615,44,2025-09-29T22:00:00+09:00,2.314408,111.831916,Sibu,Sarawak,Malaysia
9556,124,2025-09-29T22:00:00+09:00,6.147431,102.249236,Kota Bharu,Kelantan,Malaysia
9493,82,2025-09-29T22:00:00+09:00,1.919323,102.866618,Batu Pahat,Johor,Malaysia
2621,62,2025-09-29T22:00:00+09:00,3.104717,101.556222,Shah Alam,Selangor,Malaysia
10485,51,2025-09-29T22:00:00+09:00,2.914816,101.69005,Putrajaya,Wilayah Persekutuan,Malaysia
2603,43,2025-09-29T22:00:00+09:00,5.339317,116.163658,Keningau,Sabah,Malaysia
2591,30,2025-09-29T22:00:00+09:00,3.960644,103.382158,Kuantan,Pahang,Malaysia
2622,56,2025-09-29T22:00:00+09:00,4.262121,103.425778,Kemaman,Terengganu,Malaysia
9489,41,2025-09-29T22:00:00+09:00,5.356211,100.30792,Minden,Pulau Pinang,Malaysia
